Cognome,Nome,Squadra,Posizione,Partite Giocate,Tiri Totali,Gol Totali,Tiri Sbagliati,Gol Azione,Gol Rigore,Percentuale Realizzazione,Assist,Falli Tecnici,Intercetti,Blocchi,Cartellino Giallo,2 Minuti,Cartellino Rosso,Cartellino Blu,Stagione,Categoria
Artmann,Jan,BHC,Ala Sinistra,30,79,55,24,55,0,0.6962,4,9,1,0,3,2,0,0,17/18,B
Luther,Daniel,EIS,Terzino Sinistro,26,105,55,50,37,18,0.5238,46,26,6,10,9,8,0,0,17/18,B
Heil,Julius,KON,Centrale,27,93,55,38,55,0,0.5914,24,23,4,1,3,8,0,0,17/18,B
Hansen,Markus,VFL,Centrale,20,110,54,56,54,0,0.4909,17,11,6,10,5,2,0,0,17/18,B
Podpolinski,Toni,VFL,Terzino Destro,25,100,54,46,54,0,0.54,35,18,8,2,7,5,1,0,17/18,B
Claasen,Tim,VFL,Centrale,33,94,54,40,44,10,0.5745,10,14,1,0,1,2,0,0,17/18,B
Doll,Jan,SGB,Ala Destra,33,86,54,32,54,0,0.6279,9,13,10,0,1,6,0,0,17/18,B
Weber,Sebastian,COB,Pivot,35,78,53,25,53,0,0.6795,16,13,0,6,9,9,0,0,17/18,B
Kraus,Sebastian,WÖW,Ala Sinistra,36,77,53,24,46,7,0.6883,8,13,5,0,4,9,2,0,17/18,B
Wesseling,Sven,TVE,Terzino Sinistro,36,93,53,40,37,16,0.5699000000000001,28,20,6,4,9,16,0,0,17/18,B
Petrovsky,Leos,BHC,Pivot,38,77,53,24,53,0,0.6883,10,22,4,27,10,16,1,0,17/18,B
Handschke,Felix,VIK,Terzino Sinistro,27,80,52,28,51,1,0.65,15,28,7,2,4,6,0,0,17/18,B
Pohle,Georg,TVE,Terzino Sinistro,22,105,52,53,48,4,0.4952,33,17,1,11,10,23,2,0,17/18,B
Schulz,Michael,HGS,Pivot,35,75,52,23,52,0,0.6933,11,14,7,31,13,19,1,0,17/18,B
Bohm,Lukas,WÖW,Terzino Destro,36,85,52,33,52,0,0.6118,34,16,4,6,7,13,0,0,17/18,B
Wagner,Tobias,HBW,Pivot,36,68,52,16,52,0,0.7646999999999999,6,20,2,18,13,13,0,0,17/18,B
Criciotoiu,Bogdan Andre,BHC,Terzino Destro,30,93,51,42,51,0,0.5484,7,7,0,0,2,3,0,0,17/18,B
Zimmermann,Bruno,VFL,Centrale,31,103,51,52,51,0,0.4951,11,20,0,1,2,9,0,0,17/18,B
Kohler,Steffen,VFL,Pivot,36,67,49,18,49,0,0.7313,7,21,8,3,8,7,0,0,17/18,B
Meoki-Etxebeste,Ibai,EIS,Centrale,26,85,49,36,49,0,0.5765,35,28,5,0,5,12,0,0,17/18,B
Kruger,Felix,KON,Terzino Destro,35,117,48,69,48,0,0.4103,15,14,3,5,12,8,0,0,17/18,B
Petreikis,Benas,AUE,Centrale,25,85,48,37,47,1,0.5647,48,15,1,0,0,1,0,0,17/18,B
Foth,Christoph,HBW,Pivot,35,67,47,20,46,1,0.7015,9,18,8,24,26,33,1,0,17/18,B
Wucherpfennig,Lukas,COB,Ala Destra,24,61,47,14,32,15,0.7705,3,2,1,0,1,2,0,0,17/18,B
Terwolbeck,Alexander,NOL,Centrale,20,85,47,38,47,0,0.5529,41,30,1,1,0,1,0,0,17/18,B
de Boer,Luca,NOL,Pivot,36,78,47,31,47,0,0.6026,13,20,11,36,13,17,0,0,17/18,B
Schwarz,Maximilian,KON,Terzino Destro,25,79,47,32,47,0,0.5949,21,26,3,0,2,6,0,0,17/18,B
Schwabe,Jakob,ASV,Pivot,36,64,46,18,46,0,0.7188,11,9,5,25,15,9,0,0,17/18,B
Kalafut,Lukas,WHV,Terzino Sinistro,27,118,46,72,46,0,0.3898,31,29,3,5,11,11,0,0,17/18,B
Kasler,Felix,TUE,Ala Destra,31,77,46,31,46,0,0.5974,2,11,3,0,2,1,0,0,17/18,B
Muller,Arthur,HGS,Terzino Sinistro,30,118,45,73,45,0,0.3814,31,29,0,2,5,6,1,0,17/18,B
Johnen,Bennet,VIK,Pivot,25,60,44,16,44,0,0.7333,2,22,1,3,12,10,0,0,17/18,B
Gipperich,Brian,VIK,Terzino Destro,20,87,43,44,43,0,0.4943,10,18,3,1,3,3,0,0,17/18,B
Nippes,Kristian,BHC,Terzino Destro,36,73,42,31,42,0,0.5753,38,21,7,12,8,15,0,0,17/18,B
Kelm,Dominic,COB,Pivot,35,54,42,12,42,0,0.7778,8,13,4,3,11,4,0,0,17/18,B
Gudat,Lars,ASV,Ala Destra,29,61,41,20,41,0,0.6720999999999999,9,4,5,0,1,6,0,0,17/18,B
Huesmann,Fabian,ASV,Ala Sinistra,23,66,41,25,29,12,0.6212,8,3,1,6,4,12,0,0,17/18,B
Bornemann,Andreas,VIK,Terzino Destro,29,111,41,70,41,0,0.3693999999999999,11,13,1,3,7,6,0,0,17/18,B
Bruhn,Jasper,VFL,Terzino Destro,24,66,40,26,40,0,0.6061,2,10,2,3,1,3,0,0,17/18,B
Waldhof,Dominik,HAG,Terzino Sinistro,35,72,40,32,40,0,0.5556,21,14,9,41,22,28,1,0,17/18,B
Reissky,Christoph,TUE,Terzino Destro,14,70,39,31,39,0,0.5571,13,11,1,1,8,4,0,0,17/18,B
Buschmann,Arseniy,ELB,Centrale,33,66,39,27,39,0,0.5909,25,31,6,7,7,11,0,0,17/18,B
Asmuth,Jan,SGB,Ala Sinistra,32,62,39,23,39,0,0.629,9,5,9,1,5,6,0,0,17/18,B
Fuchs,Markus,ASV,Terzino Sinistro,26,62,38,24,38,0,0.6129,20,8,6,32,17,17,1,0,17/18,B
Miljak,Duje,EIS,Terzino Destro,34,78,38,40,38,0,0.4871999999999999,34,11,8,29,22,26,4,0,17/18,B
Bauer,Max,WÖW,Ala Destra,18,57,38,19,38,0,0.6667000000000001,3,8,3,0,7,13,1,0,17/18,B
Fauteck,Jannis,HAG,Centrale,27,75,37,38,37,0,0.4932999999999999,36,11,3,4,4,13,0,0,17/18,B
Kintrup,Michael,TUE,Terzino Destro,19,81,37,44,37,0,0.4568,11,11,2,3,1,4,0,0,17/18,B
Gress,Sebastian,ELB,Centrale,22,64,37,27,37,0,0.5781000000000001,53,19,4,1,0,2,0,0,17/18,B
Kozul,Matej,WHV,Pivot,36,66,37,29,37,0,0.5606,19,19,4,6,12,13,0,0,17/18,B
Flodl,Norman,ELB,Pivot,22,54,36,18,36,0,0.6667000000000001,4,20,5,8,10,13,2,0,17/18,B
Erifopoulos,Panagiotis,SGB,Pivot,21,47,36,11,36,0,0.7659999999999999,6,9,8,0,2,12,0,0,17/18,B
Maier-Hasselmann,Fabian,KON,Ala Destra,29,52,36,16,35,1,0.6923,4,4,2,1,1,2,0,0,17/18,B
Pulay,Gabor,ELB,Terzino Destro,15,66,36,30,35,1,0.5455,15,18,1,0,1,0,0,0,17/18,B
Witzke,Luca,TUE,Centrale,21,62,36,26,36,0,0.5806,29,13,1,5,5,0,0,0,17/18,B
Hruscak,Patrik,ELB,Terzino Destro,20,72,35,37,35,0,0.4861,8,12,0,0,5,4,0,0,17/18,B
Terhaer,Yannick,TVE,Ala Destra,28,50,34,16,34,0,0.68,0,8,0,0,5,5,0,0,17/18,B
Neuteboom,Jort,AUE,Terzino Sinistro,17,58,33,25,14,19,0.569,5,12,1,7,3,6,0,0,17/18,B
Drechsler,Rene,WHV,Terzino Destro,18,65,32,33,32,0,0.4922999999999999,16,19,0,0,0,2,0,0,17/18,B
Backs,Fin,HIL,Ala Sinistra,25,52,32,20,32,0,0.6154,0,4,2,0,0,1,0,0,17/18,B
Ranke,Fynn,VFL,Pivot,26,46,31,15,31,0,0.6739,2,8,4,6,6,20,1,0,17/18,B
Schieb,Lukas,HIL,Terzino Sinistro,25,64,31,33,31,0,0.4844,8,18,8,8,2,3,0,0,17/18,B
Hausmann,Jannik,HBW,Ala Destra,31,53,30,23,30,0,0.5660000000000001,16,12,1,3,4,6,0,0,17/18,B
Ridder,Carsten,TUE,Terzino Sinistro,21,81,30,51,30,0,0.3704,40,17,2,11,12,12,0,0,17/18,B
Roosna,Karl,TUE,Terzino Destro,23,65,30,35,30,0,0.4614999999999999,7,16,1,1,0,1,0,0,17/18,B
Zele,Daniel,ELB,Terzino Sinistro,28,61,30,31,30,0,0.4918,13,8,4,9,5,8,0,0,17/18,B
